statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;1918757;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;1381606;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;5863627;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAZG1;Staatsangehörigkeit;;Insgesamt;6041171;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;2282436;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;1094459;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;1884536;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;177548;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;960180;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;11059795;Anzahl;PRS001;Personen;e
